ID,name,season_number,Alliance_Score
116,Sonja Christopher,1,-1.0
115,B.B. Andersen,1,-1.0
114,Stacey Stillman,1,-1.0
113,Ramona Gray,1,-1.0
112,Dirk Been,1,-1.0
111,Joel Klug,1,-1.0
110,Gretchen Cordy,1,0.5
109,Greg Buis,1,0.2625
108,Jenna Lewis,1,0.48749999999999993
107,Gervase Peterson,1,0.33869047619047615
106,Colleen Haskell,1,0.5176190476190476
105,Sean Kenniff,1,0.5277777777777778
104,Susan Hawk,1,0.7416666666666667
103,Rudy Boesch,1,0.753030303030303
102,Kelly Wiglesworth,1,0.4135353535353536
101,Richard Hatch,1,0.6888888888888889
216,Debb Eaton,2,-1.0
215,Kel Gleason,2,-1.0
214,Maralyn Hershey,2,-1.0
213,Mitchell Olson,2,-1.0
212,Kimmi Kappenberg,2,-1.0
211,Michael Skupin,2,-1.0
210,Jeff Varner,2,-1.0
209,Alicia Calaway,2,1.0
208,Jerri Manthey,2,0.6919642857142856
207,Nick Brown,2,0.5607142857142858
206,Amber Brkich,2,0.7055555555555555
205,Rodger Bingham,2,0.5992063492063492
204,Elisabeth Filarski,2,0.5833333333333334
203,Keith Famie,2,0.5102556173984745
202,Colby Donaldson,2,0.5009585652442795
201,Tina Wesson,2,0.5398423005565863
316,Diane Ogden,3,-1.0
315,Jessie Camacho,3,-1.0
314,Carl Bilancione,3,-1.0
313,Linda Spencer,3,-1.0
312,Silas Gaither,3,-1.0
311,Lindsey Richter,3,-1.0
310,Clarence Black,3,0.75
309,Kelly Goldsmith,3,0.5805555555555556
308,Brandon Quinton,3,0.4533333333333333
307,Frank Garrison,3,0.4707482993197279
306,Kim Powers,3,0.5205357142857143
305,Teresa Cooper,3,0.43452380952380953
304,Tom Buchanan,3,0.48055555555555557
303,Lex van den Berghe,3,0.5239087301587302
302,Kim Johnson,3,0.6702380952380953
301,Ethan Zohn,3,0.6702380952380953
416,Peter Harkey,4,-1.0
415,Patricia Jackson,4,-1.0
414,Hunter Ellis,4,-1.0
413,Sarah Jones,4,0.25
412,Gabriel Cade,4,-1.0
411,Gina Crews,4,0.25
410,Rob Mariano,4,0.7
409,John Carroll,4,-1.0
408,Zoe Zanidakis,4,0.5625
407,Tammy Leitner,4,0.5357142857142857
406,Robert DeCanio,4,0.4761904761904762
405,Sean Rector,4,0.6166666666666667
404,Paschal English,4,0.6764550264550264
404,Kathy Vavrick-O'Brien,4,0.5644179894179894
402,Neleh Dennis,4,0.6764550264550264
401,Vecepia Towery,4,0.6866071428571429
516,John Raymond,5,-1.0
515,Tanya Vance,5,-1.0
514,Jed Hildebrand,5,-1.0
513,Ghandia Johnson,5,-1.0
512,Stephanie Dill,5,-1.0
511,Robb Zbacnik,5,-1.0
510,Shii Ann Huang,5,0.75
509,Erin Collins,5,0.6375000000000001
508,Ken Stafford,5,0.7541666666666668
507,Penny Ramsey,5,0.724404761904762
506,Jake Billingsley,5,0.724404761904762
505,"Ted Rogers, Jr.",5,0.75
504,Helen Glover,5,0.6785714285714286
503,Jan Gentry,5,0.7410714285714286
502,Clay Jordan,5,0.7410714285714286
501,Brian Heidik,5,0.8392857142857143
616,Ryan Aiken,6,-1.0
615,Janet Koth,6,-1.0
614,Daniel Lue,6,-1.0
613,JoAnna Ward,6,-1.0
612,Jeanne Hebert,6,-1.0
611,Shawna Mitchell,6,-1.0
610,Roger Sexton,6,0.875
609,Dave Johnson,6,0.42000000000000004
608,Deena Bennett,6,0.7388888888888889
607,Alex Bell,6,0.625297619047619
606,Christy Smith,6,0.5433673469387755
605,Heidi Strobel,6,0.7052721088435374
604,Butch Lockley,6,0.5878968253968253
603,Rob Cesternino,6,0.6622023809523809
602,Matthew von Ertfelda,6,0.6304563492063492
601,Jenna Morasca,6,0.6925170068027212
716,Nicole Delma,7,-1.0
715,Ryan Shoulders,7,-1.0
714,Michelle Tesauro,7,-1.0
713,Trish Dunn,7,-1.0
712,Shawn Cohen,7,0.6666666666666666
711,Osten Taylor,7,-1.0
710,Andrew Savage,7,0.75
709,Ryan Opray,7,0.65
708,Rupert Boneham,7,0.6666666666666666
707,Tijuana Bradley,7,0.5785714285714286
706,Christa Hastie,7,0.7291666666666667
705,Burton Roberts,7,-1.0
704,Darrah Johnson,7,0.49857142857142855
703,Jon Dalton,7,0.4394540644540645
702,Lillian Morris,7,-1.0
701,Sandra Diaz-Twine,7,0.5765512265512265
818,Tina Wesson,8,-1.0
817,Rudy Boesch,8,-1.0
816,Jenna Morasca,8,-1.0
815,Rob Cesternino,8,-1.0
814,Richard Hatch,8,-1.0
813,Susan Hawk,8,-1.0
812,Colby Donaldson,8,-1.0
811,Ethan Zohn,8,0.4
810,Jerri Manthey,8,0.6333333333333333
809,Lex van den Berghe,8,0.85
808,Kathy Vavrick-O'Brien,8,0.9
807,Alicia Calaway,8,0.5
806,Shii Ann Huang,8,0.61875
805,Tom Buchanan,8,0.5333333333333333
804,Rupert Boneham,8,0.6116666666666666
803,Jenna Lewis,8,0.6783333333333335
802,Rob Mariano,8,0.6190476190476191
801,Amber Brkich,8,0.6357142857142858
918,Brook Geraghty,9,-1.0
917,Dolly Neely,9,-1.0
916,John Palyok,9,-1.0
915,Mia Galeotalanza,9,-1.0
914,Brady Finta,9,-1.0
913,Travis Sampson,9,0.5
912,Lisa Keiffer,9,0.5
911,John Kenney,9,0.25
910,Rory Freeman,9,0.6875
909,Lea Masters,9,0.5
908,Chad Crittenden,9,0.5178571428571428
907,Leann Slaby,9,0.6785714285714286
906,Ami Cusack,9,0.6374149659863946
905,Julie Berry,9,0.4761904761904762
904,Eliza Orlins,9,0.5747526283240568
903,Scout Cloud Lee,9,0.6989022881880025
902,Twila Tanner,9,0.6954365079365079
901,Chris Daugherty,9,0.4432142857142858
1020,Jonathan Libby,10,-1.0
1019,Wanda Shirk,10,-1.0
1018,Jolanda Jones,10,-1.0
1017,Ashlee Ashby,10,-1.0
1016,Jeff Wilson,10,-1.0
1015,Kim Mullen,10,0.5
1014,Willard Smith,10,-1.0
1013,Angie Jakusz,10,0.59
1012,James Miller,10,0.5533333333333333
1011,Ibrehem Rahman,10,0.34785714285714286
1010,Bobby Jon Drinkard,10,0.44904761904761903
1009,Coby Archa,10,-1.0
1008,Janu Tornell,10,-1.0
1007,Stephenie LaGrossa,10,0.6278571428571429
1006,Gregg Carey,10,0.8
