ID,Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
100,Boot,Sonja,B.B.,Stacey,Ramona,Dirk,Joel,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Susan,Rudy,,,,,
101,Richard,-1,0,1,0,1,0,1,1,1,1,1,1,0,0,,,,,
102,Kelly,-1,0,-1,0,1,0,1,1,-1,1,-1,1,1,1,,,,,
103,Rudy,1,0,1,0,1,0,1,1,1,1,1,1,1,0,,,,,
104,Susan,1,0,1,0,1,0,1,1,1,1,1,1,0,0,,,,,
105,Sean,1,0,1,0,-1,0,-1,1,1,1,1,-1,0,0,,,,,
106,Colleen,0,1,0,1,0,1,-1,-1,-1,-1,-1,0,0,0,,,,,
107,Gervase,0,1,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,,,,,
108,Jenna,0,1,0,1,0,1,-1,1,-1,0,0,0,0,0,,,,,
109,Greg,0,-1,0,-1,0,1,-1,-1,0,0,0,0,0,0,,,,,
110,Gretchen,0,1,0,1,0,1,-1,0,0,0,0,0,0,0,,,,,
111,Joel,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,,,,,
112,Dirk,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,,,,,
113,Ramona,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,
114,Stacey,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,
115,B.B.,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
116,Sonja,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
200,Boot,Debb,Kel,Maralyn,Mitchell,Kimmi,Jeff,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,Keith,,,,,,
201,Tina,0,1,1,0,0,0,1,1,1,1,1,1,0,,,,,,
202,Colby,0,1,1,0,0,0,1,1,1,-1,1,1,1,,,,,,
203,Keith,0,1,-1,0,0,0,1,1,1,1,1,1,0,,,,,,
204,Elisabeth,1,0,0,0,1,0,1,1,-1,1,-1,-1,0,,,,,,
205,Rodger,1,0,0,0,1,0,1,1,-1,1,-1,0,0,,,,,,
206,Amber,0,1,1,0,0,0,1,-1,1,-1,0,0,0,,,,,,
207,Nick,1,0,0,0,1,0,-1,1,-1,0,0,0,0,,,,,,
208,Jerri,0,1,1,0,0,0,1,-1,0,0,0,0,0,,,,,,
209,Alicia,1,0,0,0,1,0,-1,0,0,0,0,0,0,,,,,,
210,Jeff,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
211,Michael,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
212,Kimmi,1,0,0,0,-1,0,0,0,0,0,0,0,0,,,,,,
213,Mitchell,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,
214,Maralyn,0,1,-1,0,0,0,0,0,0,0,0,0,0,,,,,,
215,Kel,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
216,Debb,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
300,Boot,Diane,Jessie,Carl,Linda,Silas,Lindsey,Clarence,Kelly,Brandon,Frank,Kim P.,Teresa,Tom,Lex,,,,,
301,Ethan,1,1,0,0,1,0,1,1,1,1,1,1,1,0,,,,,
302,Kim J.,1,1,0,0,1,0,1,1,1,1,1,1,1,1,,,,,
303,Lex,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,,,,,
304,Tom,-1,-1,0,0,0,0,1,1,1,1,1,1,-1,0,,,,,
305,Teresa,0,0,0,0,1,0,1,1,1,1,-1,-1,0,0,,,,,
306,Kim P.,0,0,0,1,0,0,1,1,1,1,-1,0,0,0,,,,,
307,Frank,0,0,0,0,1,0,1,-1,1,-1,0,0,0,0,,,,,
308,Brandon,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,,,,,
309,Kelly,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,,,,,
310,Clarence,1,1,0,0,1,0,-1,0,0,0,0,0,0,0,,,,,
311,Lindsey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
312,Silas,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,,,,,
313,Linda,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,
314,Carl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
315,Jessie,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
316,Diane,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
400,Boot,Peter,Patricia,Hunter,Sarah,Gabriel,Gina,Rob,John,Zoe,Robert,Sean,Paschal,Kathy,Neleh,Vecepia,,,,
401,Vecepia,-1,1,1,0,1,0,1,1,1,-1,-1,0,0,0,0,,,,
402,Neleh,0,0,0,1,0,1,1,1,1,-1,-1,0,0,-1,0,,,,
404,Kathy,0,0,0,1,0,1,-1,1,1,-1,-1,0,0,0,-1,,,,
404,Paschal,0,0,0,1,0,1,1,1,1,-1,-1,0,0,0,0,,,,
405,Sean,-1,1,1,0,1,0,-1,1,1,-1,-1,0,0,0,0,,,,
406,Robert,0,0,0,0,1,0,1,-1,1,-1,1,0,0,0,0,,,,
407,Tammy,0,0,0,0,1,0,1,-1,1,-1,0,0,0,0,0,,,,
408,Zoe,0,0,0,0,1,0,1,1,-1,0,0,0,0,0,0,,,,
409,John,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,,,,
410,Rob,1,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,,,,
411,Gina,1,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,,,,
412,Gabriel,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,
413,Sarah,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,
414,Hunter,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
415,Patricia,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
416,Peter,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
500,Boot,John,Tanya,Jed,Ghandia,Stephanie,Robb,Shii Ann,Erin,Ken,Penny,Jake,Ted,Helen,Jan,,,,,
501,Brian,1,1,0,1,0,0,0,0,1,1,1,1,1,1,,,,,
502,Clay,1,1,0,1,0,0,0,0,1,-1,1,1,1,0,,,,,
503,Jan,1,1,0,-1,0,0,0,0,1,1,1,1,1,0,,,,,
504,Helen,-1,1,0,1,0,0,0,0,1,1,1,1,-1,0,,,,,
505,Ted,1,1,0,1,0,0,0,0,1,1,1,-1,0,0,,,,,
506,Jake,0,0,1,0,1,1,1,1,-1,-1,-1,0,0,0,,,,,
507,Penny,0,0,1,0,1,1,1,1,-1,-1,0,0,0,0,,,,,
508,Ken,0,0,1,0,1,1,1,1,-1,0,0,0,0,0,,,,,
509,Erin,0,0,1,0,1,1,1,-1,0,0,0,0,0,0,,,,,
510,Shii Ann,0,0,1,0,1,1,-1,0,0,0,0,0,0,0,,,,,
511,Robb,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,,,,,
512,Stephanie,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,,,,,
513,Ghandia,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,
514,Jed,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,
515,Tanya,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
516,John,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
600,Boot,Ryan,Janet,Daniel,JoAnna,Jeanne,Shawna,Roger,Dave,Deena,Alex,Christy,Heidi,Butch,Rob,,,,,
601,Jenna,0,1,0,1,0,1,1,1,1,-1,1,-1,1,1,,,,,
602,Matthew,-1,0,1,0,0,1,1,1,1,1,1,1,1,0,,,,,
603,Rob,1,0,1,0,0,1,1,1,1,1,1,1,1,0,,,,,
604,Butch,1,0,1,0,1,0,-1,1,1,1,-1,1,-1,0,,,,,
605,Heidi,0,1,0,1,1,0,1,1,1,-1,1,-1,0,0,,,,,
606,Christy,0,-1,0,1,-1,0,1,1,-1,1,-1,0,0,0,,,,,
607,Alex,1,0,1,0,0,-1,1,1,1,-1,0,0,0,0,,,,,
608,Deena,0,1,0,1,0,1,1,1,-1,0,0,0,0,0,,,,,
609,Dave,-1,0,1,0,1,0,-1,-1,0,0,0,0,0,0,,,,,
610,Roger,1,0,1,0,1,0,-1,0,0,0,0,0,0,0,,,,,
611,Shawna,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,,,,,
612,Jeanne,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,,,,,
613,JoAnna,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,
614,Daniel,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,
615,Janet,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
616,Ryan,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
700,Boot,Nicole,Ryan S.,Lillian,Burton,Michelle,Trish,Shawn,Andrew,Ryan O.,Rupert,Tijuana,Christa,Burton,Darrah,,,,,
701,Sandra,0,0,0,1,1,1,1,1,1,1,1,-1,1,1,,,,,
702,Lillian,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,
703,Jon,0,0,0,1,1,-1,1,1,1,1,1,1,-1,1,,,,,
704,Darrah,1,1,1,0,0,0,0,-1,1,1,-1,1,1,-1,,,,,
705,Burton,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,
706,Christa,0,0,0,1,1,1,1,1,1,-1,1,-1,0,0,,,,,
707,Tijuana,1,1,1,0,0,0,0,-1,1,1,-1,0,0,0,,,,,
708,Rupert,0,0,0,0,1,1,1,1,1,-1,0,0,0,0,,,,,
710,Andrew,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,,,,,
711,Osten,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
712,Shawn,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,,,,,
713,Trish,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,,,,,
714,Michelle,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,,,,,
716,Nicole,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
709,Ryan O.,1,1,1,0,0,0,0,-1,-1,0,0,0,0,0,,,,,
715,Ryan S.,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
800,Boot,Tina,Rudy,Rob C.,Richard,Colby,Ethan,Jerri,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,Jenna L.,Rob M.,,,,
801,Amber,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,,,,
804,Rupert,1,-1,0,0,0,1,1,1,1,1,1,1,-1,0,0,,,,
805,Tom,0,0,1,0,0,1,1,1,1,1,1,-1,0,0,0,,,,
807,Alicia,0,0,1,0,0,1,1,1,1,-1,0,0,0,0,0,,,,
808,Kathy,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,,,,
809,Lex,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,,,,
810,Jerri,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,,,,
811,Ethan,-1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,,,,
812,Colby,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,,,,
813,Susan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
814,Richard,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,,
817,Rudy,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
818,Tina,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
802,Rob M.,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,,,,
803,Jenna L.,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,,,,
806,Shii Ann,0,0,0,1,1,1,1,1,-1,1,-1,0,0,0,0,,,,
815,Rob C.,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
816,Jenna M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
900,Boot,Brook,Dolly,John P.,Mia,Brady,Travis,Lisa,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,Scout,Twila,,
901,Chris,1,0,1,0,1,0,0,1,-1,1,-1,1,1,1,1,1,0,,
902,Twila,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,,
903,Scout,0,1,0,1,0,1,-1,0,1,1,1,1,1,1,1,0,1,,
904,Eliza,0,1,0,-1,0,1,1,0,1,1,1,1,1,-1,-1,0,0,,
905,Julie,0,-1,0,-1,0,0,0,1,1,1,1,-1,-1,-1,0,0,0,,
906,Ami,0,1,0,1,0,1,1,0,1,1,1,-1,-1,0,0,0,0,,
907,Leann,0,1,0,1,0,1,1,0,1,1,1,-1,0,0,0,0,0,,
908,Chad,1,0,1,0,1,0,0,1,-1,-1,-1,0,0,0,0,0,0,,
909,Lea,1,0,1,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,,
910,Rory,1,0,1,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,,
912,Lisa,0,-1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,,
913,Travis,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,,
914,Brady,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
915,Mia,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
917,Dolly,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
918,Brook,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
911,John K.,-1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,,
916,John P.,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1000,Boot,Jolanda,Ashlee,Jeff,Kim,Willard,Angie,James,Ibrehem,Coby,Stephenie,Gregg,Caryn,Jenn,Ian,,,,,
1001,Tom,0,0,0,0,1,0,1,0,1,1,1,1,0,1,,,,,
1002,Katie,0,0,0,0,1,0,1,0,1,1,1,1,0,0,,,,,
1003,Ian,0,0,0,0,1,0,1,0,1,1,1,1,0,0,,,,,
1004,Jenn,0,0,0,0,1,0,1,0,1,1,-1,1,0,0,,,,,
1005,Caryn,0,0,0,0,1,0,1,0,1,1,1,-1,0,0,,,,,
1006,Gregg,0,0,0,0,1,0,1,0,1,1,-1,0,0,0,,,,,
1007,Stephenie,1,1,1,1,0,1,1,1,1,-1,0,0,0,0,,,,,
1008,Janu,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,,,,,
1009,Coby,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,,,,,
1010,Bobby Jon,1,1,-1,1,0,1,1,1,0,0,0,0,0,0,,,,,
1011,Ibrehem,1,1,1,1,0,1,0,-1,0,0,0,0,0,0,,,,,
1012,James,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,,,,,
1013,Angie,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,
1014,Willard,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,,
1015,Kim,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,,,,,
1016,Jeff,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,
1017,Ashlee,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1018,Jolanda,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1020,Jonathan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1019,Wanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1100,Boot,Jim,Morgan,Brianna,Brooke,Blake,Margaret,Brian,Amy,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,Rafe,Stephenie,,
1101,Danni,1,0,0,0,1,0,1,1,-1,-1,1,1,1,1,1,1,0,,
1102,Stephenie,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,,
1103,Rafe,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,,
1104,Lydia,0,1,1,1,0,1,0,0,1,1,1,1,1,1,-1,0,0,,
1105,Cindy,1,0,0,-1,0,1,0,0,1,1,1,1,-1,-1,0,0,0,,
1106,Judd,1,0,0,1,0,1,0,0,1,1,-1,1,-1,0,0,0,0,,
1107,Gary,0,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,0,0,,
1108,Jamie,0,1,1,1,0,1,0,0,1,1,-1,0,0,0,0,0,0,,
1109,Bobby Jon,1,0,0,0,1,0,1,1,-1,-1,0,0,0,0,0,0,0,,
1110,Brandon,1,0,0,0,-1,0,1,1,-1,0,0,0,0,0,0,0,0,,
1111,Amy,0,1,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,,
1112,Brian,0,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,,
1113,Margaret,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,,
1114,Blake,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
1115,Brooke,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1116,Brianna,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1117,Morgan,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1118,Jim,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1200,Boot,Tina,Melinda,Misty,Ruth-Marie,Bobby,Dan,Nick,Austin,Sally,Courtney,Shane,Cirie,Terry,,,,,,
1201,Aras,0,1,0,0,-1,0,1,1,1,1,1,0,0,,,,,,
1202,Danielle,0,1,0,0,1,0,1,1,1,1,1,0,1,,,,,,
1203,Terry,0,0,1,1,0,1,-1,-1,-1,-1,1,0,0,,,,,,
1204,Cirie,1,-1,0,0,1,0,1,1,1,1,1,0,0,,,,,,
1205,Shane,0,1,0,0,-1,0,1,1,1,-1,-1,0,0,,,,,,
1206,Courtney,0,1,0,0,1,0,1,1,1,-1,0,0,0,,,,,,
1207,Bruce,0,0,0,0,-1,0,1,1,1,0,0,0,0,,,,,,
1208,Sally,0,0,-1,1,0,0,-1,-1,-1,0,0,0,0,,,,,,
1209,Austin,0,0,1,1,0,1,-1,-1,0,0,0,0,0,,,,,,
1210,Nick,0,0,1,1,0,1,-1,0,0,0,0,0,0,,,,,,
1211,Dan,0,0,1,-1,0,-1,0,0,0,0,0,0,0,,,,,,
1212,Bobby,0,1,0,0,-1,0,0,0,0,0,0,0,0,,,,,,
1214,Misty,0,0,-1,0,0,0,0,0,0,0,0,0,0,,,,,,
1215,Melinda,1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1216,Tina,-1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
