ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv,Alliance_Score,prev_ids,new_id,seasons_played,FTC
0101,Richard Hatch,39.0,Male,RI,Borneo,1.0,39.0,6.0,1.0,1.0,2,16.0,1.0,1,1.87,15.1,0.12,10.0,6.0,73.0,11.0,0.9,2.55,4.0,7.0,0.57,1.6,7.84,0.6888888888888889,,,,1
0102,Kelly Wiglesworth,22.0,Female,NV,Borneo,2.0,39.0,0.0,0.9375,1.0,2,16.0,1.0,1,5.87,15.1,0.39,6.0,0.0,73.0,11.0,0.55,3.82,3.0,7.0,0.43,1.36,12.26,0.4135353535353536,,,,1
0103,Rudy Boesch,72.0,Male,VA,Borneo,3.0,38.0,8.0,0.875,1.0,2,16.0,1.0,0,1.62,15.1,0.11,10.0,8.0,73.0,11.0,0.9,2.12,,,,1.01,3.74,0.7530303030303029,,,,0
0104,Susan Hawk,38.0,Female,WI,Borneo,4.0,37.0,7.0,0.8125,1.0,2,16.0,1.0,0,0.87,14.1,0.06,9.0,5.0,70.0,10.0,0.89,2.8,,,,0.95,3.67,0.7416666666666667,,,,0
0105,Sean Kenniff,30.0,Male,NY,Borneo,5.0,36.0,9.0,0.75,1.0,1,16.0,1.0,0,1.87,13.1,0.14,6.0,9.0,66.0,9.0,0.65,1.44,,,,0.79,3.3,0.5277777777777778,,,,0
0106,Colleen Haskell,23.0,Female,FL,Borneo,6.0,33.0,7.0,0.6875,1.0,1,16.0,1.0,0,1.56,11.07,0.14,3.0,7.0,61.0,8.0,0.36,0.95,,,,0.5,2.51,0.5176190476190476,,,,0
0107,Gervase Peterson,30.0,Male,NJ,Borneo,7.0,30.0,6.0,0.625,1.0,2,16.0,1.0,0,2.89,9.07,0.32,1.0,6.0,55.0,7.0,0.13,0.4,,,,0.45,3.29,0.3386904761904761,,,,0
0108,Jenna Lewis,22.0,Female,NH,Borneo,8.0,27.0,11.0,0.5625,1.0,2,16.0,1.0,0,1.23,7.07,0.17,4.0,11.0,48.0,6.0,0.63,1.24,,,,0.8,2.47,0.4874999999999999,,,,0
0109,Greg Buis,24.0,Male,CO,Borneo,9.0,24.0,6.0,0.5,1.0,1,16.0,1.0,0,2.56,5.07,0.5,1.0,6.0,40.0,5.0,0.17,0.56,,,,0.67,3.12,0.2625,,,,0
0110,Gretchen Cordy,38.0,Female,TN,Borneo,10.0,21.0,4.0,0.4375,1.0,1,16.0,1.0,0,1.23,3.07,0.4,3.0,4.0,31.0,4.0,0.72,2.63,,,,1.12,3.85,0.5,,,,0
