ID,Contestant,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv
0101,Richard Hatch,1.87,15.10,0.12,10,6,73,11,0.90,2.55,4,7,0.57,1.60,7.84
0102,Kelly Wiglesworth,5.87,15.10,0.39,6,0,73,11,0.55,3.82,3,7,0.43,1.36,12.26
0103,Rudy Boesch,1.62,15.10,0.11,10,8,73,11,0.90,2.12,-,-,-,1.01,3.74
0104,Susan Hawk,0.87,14.10,0.06,9,5,70,10,0.89,2.80,-,-,-,0.95,3.67
0105,Sean Kenniff,1.87,13.10,0.14,6,9,66,9,0.65,1.44,-,-,-,0.79,3.30
0106,Colleen Haskell,1.56,11.07,0.14,3,7,61,8,0.36,0.95,-,-,-,0.50,2.51
0107,Gervase Peterson,2.89,9.07,0.32,1,6,55,7,0.13,0.40,-,-,-,0.45,3.29
0108,Jenna Lewis,1.23,7.07,0.17,4,11,48,6,0.63,1.24,-,-,-,0.80,2.47
0109,Greg Buis,2.56,5.07,0.50,1,6,40,5,0.17,0.56,-,-,-,0.67,3.12
0110,Gretchen Cordy,1.23,3.07,0.40,3,4,31,4,0.72,2.63,-,-,-,1.12,3.85
0111,Joel Klug,0.89,2.07,0.43,2,4,21,3,0.60,2.33,-,-,-,1.03,3.23
0112,Dirk Been,0.62,1.51,0.41,2,4,21,3,0.60,2.33,-,-,-,1.01,2.95
0113,Ramona Gray,0.39,0.99,0.40,1,6,15,2,0.30,1.40,-,-,-,0.70,1.79
0114,Stacey Stillman,0.29,0.68,0.42,0,6,15,2,-0.20,0.00,-,-,-,0.22,0.29
0115,B.B. Andersen,0.25,0.39,0.64,0,6,8,1,-0.75,0.00,-,-,-,-0.11,0.25
0116,Sonja Christopher,0.00,0.13,0.00,0,4,8,1,-0.50,0.00,-,-,-,-0.50,0.00
0201,Tina Wesson,0.59,13.09,0.05,11,0,73,11,1.00,7.00,4,7,0.57,1.62,11.02
0202,Colby Donaldson,8.09,13.09,0.62,10,5,73,11,0.90,2.83,3,7,0.43,1.95,13.49
0203,Keith Famie,2.59,13.09,0.20,9,8,73,11,0.81,1.91,-,-,-,1.01,4.50
0204,Elisabeth Filarski,0.97,12.03,0.08,4,5,64,9,0.44,1.38,-,-,-,0.52,2.35
0205,Rodger Bingham,0.57,10.03,0.06,4,5,60,8,0.49,1.56,-,-,-,0.55,2.13
0206,Amber Brkich,0.59,9.09,0.07,5,6,61,8,0.61,1.75,-,-,-,0.68,2.34
0207,Nick Brown,1.97,7.03,0.28,3,4,49,6,0.49,1.75,-,-,-,0.77,3.72
0208,Jerri Manthey,2.09,6.09,0.34,4,12,48,6,0.63,1.17,-,-,-,0.97,3.26
0209,Alicia Calaway,0.97,4.53,0.21,2,5,34,4,0.46,1.56,-,-,-,0.68,2.53
0210,Jeff Varner,0.97,2.53,0.38,2,7,25,3,0.57,1.70,-,-,-,0.96,2.67
0211,Michael Skupin,0.97,1.53,0.64,2,0,15,2,0.57,1.87,-,-,-,1.21,2.84
0212,Kimmi Kappenberg,0.57,1.33,0.43,1,6,15,2,0.30,1.40,-,-,-,0.73,1.97
0213,Mitchell Olson,0.39,0.99,0.40,2,4,21,3,0.60,2.33,-,-,-,1.00,2.73
0214,Maralyn Hershey,0.39,0.66,0.59,1,5,15,2,0.33,1.56,-,-,-,0.93,1.95
0215,Kel Gleason,0.25,0.38,0.67,0,7,8,1,-0.88,0.00,-,-,-,-0.21,0.25
0216,Debb Eaton,0.00,0.13,0.00,0,7,8,1,-0.88,0.00,-,-,-,-0.88,0.00
0301,Ethan Zohn,2.87,13.29,0.22,11,0,74,11,1.00,7.00,5,7,0.71,1.93,14.15
0302,Kim Johnson,2.87,13.29,0.22,11,1,74,11,1.00,5.60,2,7,0.29,1.50,10.18
0303,Lex van den Berghe,5.87,13.29,0.44,9,10,74,11,0.81,1.64,-,-,-,1.25,7.50
0304,Tom Buchanan,1.67,12.29,0.14,7,7,71,10,0.69,1.78,-,-,-,0.83,3.45
0305,Teresa Cooper,1.90,11.27,0.17,3,4,66,9,0.33,1.17,-,-,-,0.50,3.07
0306,Kim Powers,0.90,9.27,0.10,5,4,61,8,0.62,2.19,-,-,-,0.71,3.09
0307,Frank Garrison,1.40,7.27,0.19,3,9,55,7,0.41,0.92,-,-,-,0.60,2.33
0308,Brandon Quinton,1.40,6.27,0.22,4,6,48,6,0.65,1.87,-,-,-,0.87,3.27
0309,Kelly Goldsmith,0.87,4.79,0.18,4,5,41,5,0.78,2.49,-,-,-,0.96,3.36
0310,Clarence Black,0.87,2.79,0.31,2,12,32,4,0.41,0.88,-,-,-,0.72,1.74
0311,Lindsey Richter,0.90,1.77,0.51,2,7,21,3,0.56,1.70,-,-,-,1.07,2.60
0312,Silas Gaither,0.70,1.37,0.51,2,8,21,3,0.54,1.56,-,-,-,1.05,2.26
0313,Linda Spencer,0.27,1.04,0.26,0,4,15,2,-0.13,0.00,-,-,-,0.13,0.27
0314,Carl Bilancione,0.39,0.73,0.54,0,4,8,1,-0.50,0.00,-,-,-,0.04,0.39
0315,Jessie Camacho,0.00,0.39,0.00,1,6,16,2,0.31,1.40,-,-,-,0.31,1.40
0316,Diane Ogden,0.00,0.13,0.00,0,6,8,1,-0.75,0.00,-,-,-,-0.75,0.00
0401,Vecepia Towery,2.45,15.35,0.16,9,2,81,12,0.75,3.50,4,7,0.57,1.48,9.38
0402,Neleh Dennis,2.34,15.33,0.15,9,4,61,10,0.89,3.15,3,7,0.43,1.47,8.06
0404,Paschal English,5.51,15.33,0.36,7,5,61,10,0.69,2.18,-,-,-,1.05,7.69
0404,Kathy Vavrick-O'Brien,2.84,14.33,0.20,8,0,58,9,0.89,6.22,-,-,-,1.09,9.07
0405,Sean Rector,1.75,13.35,0.13,7,7,74,10,0.69,1.78,-,-,-,0.82,3.53
0406,Robert DeCanio,1.62,11.33,0.14,3,6,48,6,0.48,1.40,-,-,-,0.62,3.02
